ecg,gsr,temp,hr,spo2,timest,second
1.4712,0.4839,31.28,0,0,297704,0.381
1.4223,0.4985,31.28,0,0,297707,0.384
1.4027,0.4936,31.28,0,0,297710,0.387
1.4223,0.4839,31.3,0,0,297713,0.39
1.4125,0.4985,31.3,0,0,297717,0.393
1.4272,0.4985,31.28,0,0,297720,0.396
1.4712,0.4985,31.28,0,0,297723,0.399
1.4614,0.4985,31.3,0,0,297726,0.402
1.4761,0.4985,31.28,0,0,297730,0.405
1.4907,0.4936,31.28,0,0,297734,0.408
1.5005,0.4985,31.33,0,0,297737,0.411
1.52,0.4985,31.3,0,0,297740,0.414
1.5445,0.4985,31.28,0,0,297743,0.417
1.564,0.4839,31.28,0,0,297746,0.42
1.5836,0.4985,31.3,0,0,297750,0.423
1.5982,0.4985,31.28,0,0,297753,0.426
1.6178,0.4936,31.28,0,0,297756,0.429
1.6373,0.4985,31.3,0,0,297759,0.432
1.652,0.4985,31.28,0,0,297762,0.435
1.6716,0.4936,31.3,0,0,297766,0.438
1.6862,0.4985,31.28,0,0,297769,0.441
1.7107,0.4985,31.28,0,0,297773,0.444
1.7253,0.4985,31.3,0,0,297776,0.447
1.74,0.4985,31.3,0,0,297779,0.45
1.7595,0.4985,31.3,0,0,297783,0.453
1.7742,0.4985,31.25,0,0,297786,0.456
1.7937,0.4985,31.28,0,0,297789,0.459
1.8084,0.4985,31.28,0,0,297792,0.462
1.828,0.4985,31.33,0,0,297795,0.465
1.8573,0.4936,31.28,0,0,297799,0.468
1.8573,0.4985,31.28,0,0,297802,0.471
1.8719,0.4985,31.22,0,0,297805,0.474
1.8866,0.5034,31.28,0,0,297808,0.477
1.9013,0.4985,31.28,0,0,297811,0.48
1.9159,0.4985,31.17,0,0,297816,0.483
1.9306,0.4985,31.28,0,0,297819,0.486
1.9453,0.4985,31.3,0,0,297822,0.489
1.9599,0.4985,31.28,0,0,297825,0.492
1.9746,0.4936,31.28,0,0,297828,0.495
1.9795,0.4936,31.3,0,0,297832,0.498
1.999,0.4985,31.28,0,0,297835,0.501
2.0088,0.4888,31.28,0,0,297838,0.504
2.0332,0.4839,31.28,0,0,297841,0.507
2.043,0.4936,31.3,0,0,297844,0.51
2.0577,0.4985,31.3,0,0,297848,0.513
2.0723,0.4985,31.3,0,0,297851,0.516
2.0821,0.4985,31.28,0,0,297854,0.519
2.1065,0.4936,31.28,0,0,297858,0.522
2.1017,0.4985,31.3,0,0,297861,0.525
2.1114,0.4985,31.33,0,0,297865,0.528
2.1163,0.4985,31.28,0,0,297868,0.531
2.1212,0.4985,31.28,0,0,297871,0.534
2.1212,0.4985,31.15,0,0,297874,0.537
2.1212,0.4985,31.28,0,0,297877,0.54
2.131,0.4985,31.28,0,0,297881,0.543
2.131,0.4985,31.25,0,0,297884,0.546
2.1261,0.4985,31.28,0,0,297887,0.549
2.1359,0.4936,31.28,0,0,297890,0.552
2.1261,0.4985,31.3,0,0,297893,0.555
2.1261,0.4985,31.28,0,0,297897,0.558
2.1114,0.4936,31.28,0,0,297901,0.561
2.1163,0.4985,31.28,0,0,297904,0.564
2.1065,0.4985,31.28,0,0,297907,0.567
2.0919,0.4985,31.28,0,0,297910,0.57
2.0772,0.4936,31.3,0,0,297914,0.573
2.0674,0.4985,31.3,0,0,297917,0.576
2.0528,0.4985,31.25,0,0,297920,0.579
2.0283,0.523,31.28,0,0,297923,0.582
2.0039,0.4839,31.28,0,0,297926,0.585
1.9697,0.4985,31.3,0,0,297930,0.588
1.9355,0.4985,31.33,0,0,297933,0.591
1.9306,0.4936,31.28,0,0,297936,0.594
1.8524,0.4985,31.3,0,0,297939,0.597
1.8133,0.4985,31.3,0,0,297943,0.6
1.7742,0.5034,31.28,0,0,297947,0.603
1.7302,0.4936,31.3,0,0,297950,0.606
1.7009,0.4985,31.3,0,0,297953,0.609
1.6618,0.4985,31.33,0,0,297956,0.612
1.6325,0.5034,31.28,0,0,297959,0.615
1.608,0.4985,31.28,0,0,297963,0.618
1.5836,0.4985,31.17,0,0,297966,0.621
1.5591,0.5034,31.28,0,0,297969,0.624
1.5445,0.4985,31.28,0,0,297972,0.627
1.5396,0.4985,31.28,0,0,297975,0.63
1.5347,0.4985,31.28,0,0,297979,0.633
1.5249,0.4985,31.28,0,0,297982,0.636
1.5396,0.4985,31.3,0,0,297986,0.639
1.5445,0.4985,31.28,0,0,297989,0.642
1.5543,0.4936,31.3,0,0,297992,0.645
1.564,0.4985,31.28,0,0,297996,0.648
1.5787,0.4985,31.28,0,0,297999,0.651
1.5934,0.4985,31.3,0,0,298002,0.654
1.608,0.4985,31.3,0,0,298005,0.657
1.6227,0.4985,31.25,0,0,298008,0.66
1.6325,0.4936,31.28,0,0,298012,0.663
1.6471,0.4985,31.3,0,0,298015,0.666
1.6618,0.4936,31.3,0,0,298018,0.669
1.6716,0.4985,31.3,0,0,298021,0.672
1.6813,0.4985,31.28,0,0,298024,0.675
1.6862,0.4888,31.28,0,0,298029,0.678
1.6911,0.4985,31.28,0,0,298032,0.681
1.7009,0.4985,31.3,0,0,298035,0.684
1.7058,0.4985,31.25,0,0,298038,0.687
1.7107,0.4936,31.28,0,0,298041,0.69
1.7204,0.4985,31.3,0,0,298045,0.693
1.7204,0.4985,31.3,0,0,298048,0.696
1.7204,0.5132,31.28,0,0,298051,0.699
1.7302,0.4839,31.3,0,0,298054,0.702
1.7302,0.4985,31.28,0,0,298057,0.705
1.7302,0.4985,31.3,0,0,298061,0.708
1.7302,0.4936,31.28,0,0,298064,0.711
1.7302,0.4985,31.3,0,0,298067,0.714
1.7302,0.4936,31.3,0,0,298071,0.717
1.7302,0.4888,31.28,0,0,298074,0.72
1.7253,0.4936,31.3,0,0,298078,0.723
1.7302,0.4985,31.3,0,0,298081,0.726
1.7351,0.4936,31.28,0,0,298084,0.729
1.7302,0.4936,31.3,0,0,298087,0.732
1.7302,0.4985,31.3,0,0,298090,0.735
1.7253,0.4985,31.25,0,0,298094,0.738
1.7155,0.4985,31.28,0,0,298097,0.741
1.7204,0.4936,31.3,0,0,298100,0.744
1.7204,0.4985,31.28,0,0,298103,0.747
1.7253,0.4985,31.28,0,0,298106,0.75
1.7204,0.4985,31.3,0,0,298110,0.753
1.7204,0.4985,31.28,0,0,298114,0.756
1.7204,0.4985,31.28,0,0,298117,0.759
1.7204,0.4985,31.3,0,0,298120,0.762
1.7253,0.4985,31.3,0,0,298123,0.765
1.7253,0.5181,31.28,0,0,298127,0.768
1.7302,0.4985,31.3,0,0,298130,0.771
1.7302,0.4985,31.3,0,0,298133,0.774
1.7351,0.4985,31.28,0,0,298136,0.777
1.7302,0.4985,31.28,0,0,298139,0.78
1.7351,0.4985,31.28,0,0,298143,0.783
1.7351,0.4936,31.28,0,0,298146,0.786
1.7351,0.4985,31.28,0,0,298149,0.789
